step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
86,1.19165909,-0.74092475,1.20070156,-0.74811478,0.00201153,0.01232603,0.00370154,0.00110371,175.64310554,160.08904078,183.54385179,0.00008849,0,1,6.96000000,0.00147519,-0.00786134,-2.19974027,-1.39630758,0.74889629
87,1.19176634,-0.74157126,1.20072603,-0.74783422,0.00228423,0.01178290,0.00377444,0.00107213,176.30320366,160.67748377,184.10225054,0.00008169,0,1,7.04000000,0.00172282,-0.00710362,-2.19970039,-1.39623747,0.74892787
88,1.19189822,-0.74215774,1.20020188,-0.74750799,0.00250017,0.01127563,0.00428234,0.00120609,180.68679360,161.25325549,184.63417387,0.00007541,0,1,7.12000000,0.00128097,-0.00633701,-2.20032303,-1.39572986,0.74879391
89,1.19201130,-0.74268310,1.20049140,-0.74729053,0.00275367,0.01083311,0.00405115,0.00106940,182.04588555,161.81674280,185.17521667,0.00006961,0,1,7.20000000,0.00183570,-0.00574922,-2.19985489,-1.39595145,0.74893060
90,1.19218156,-0.74327212,1.20040912,-0.74683090,0.00319540,0.01031467,0.00431150,0.00106987,184.64561476,162.36827307,185.69636391,0.00006426,0,1,7.28000000,0.00187251,-0.00477047,-2.20000406,-1.39568850,0.74893013
91,1.19229376,-0.74356227,1.20087740,-0.74663265,0.00347978,0.01004144,0.00417625,0.00101691,186.10664899,162.90837039,186.20421844,0.00005932,0,1,7.36000000,0.00263578,-0.00444116,-2.19979215,-1.39582892,0.74898309
92,1.19248631,-0.74392546,1.20042958,-0.74665571,0.00337177,0.00966207,0.00425044,0.00102364,187.85980092,163.43702475,186.69381948,0.00005476,0,1,7.44000000,0.00219881,-0.00426790,-2.19985222,-1.39575213,0.74897636
93,1.19267270,-0.74427105,1.20019577,-0.74719608,0.00281074,0.00930108,0.00419086,0.00112798,190.79847792,163.95476322,187.15232768,0.00005055,0,1,7.52000000,0.00202095,-0.00471573,-2.20008129,-1.39580993,0.74887202
94,1.19283864,-0.74463756,1.19965676,-0.74737288,0.00264945,0.00894655,0.00485997,0.00133966,195.70571921,164.46191344,187.59712237,0.00004666,0,1,7.60000000,0.00149581,-0.00468234,-2.20093710,-1.39523123,0.74866034
95,1.19300083,-0.74510660,1.19928896,-0.74743273,0.00266391,0.00854013,0.00468008,0.00128611,199.38738648,164.95881817,188.05897672,0.00004307,0,1,7.68000000,0.00117456,-0.00436677,-2.20072166,-1.39537589,0.74871389
96,1.19307259,-0.74536987,1.19902935,-0.74738653,0.00278790,0.00833230,0.00475913,0.00133650,200.57199522,165.44590813,188.50116217,0.00003976,0,1,7.76000000,0.00108518,-0.00415296,-2.20087774,-1.39532251,0.74866350
97,1.19316155,-0.74570724,1.19878107,-0.74758344,0.00270657,0.00807417,0.00499340,0.00139995,201.66994145,165.92319286,188.92914425,0.00003671,0,1,7.84000000,0.00098193,-0.00412505,-2.20113992,-1.39513845,0.74860005
98,1.19324258,-0.74603791,1.19873180,-0.74769290,0.00263268,0.00783332,0.00472067,0.00132179,203.91829358,166.39106863,189.36294519,0.00003388,0,1,7.92000000,0.00111986,-0.00398420,-2.20082454,-1.39535189,0.74867821
99,1.19335125,-0.74643971,1.19902719,-0.74782317,0.00238432,0.00754198,0.00473455,0.00136833,206.11438004,166.84980997,189.77308740,0.00003128,0,1,8.00000000,0.00163079,-0.00376782,-2.20093681,-1.39535906,0.74863167
100,1.19347967,-0.74674200,1.19881770,-0.74779513,0.00250186,0.00728898,0.00485294,0.00144535,208.07689891,167.29979078,190.17411370,0.00002887,0,1,8.08000000,0.00150453,-0.00346661,-2.20116811,-1.39528975,0.74855465
101,1.19357045,-0.74695120,1.19892649,-0.74795324,0.00231120,0.00711578,0.00484396,0.00145715,208.66054219,167.74118881,190.57069245,0.00002665,0,1,8.16000000,0.00179755,-0.00348704,-2.20118937,-1.39530433,0.74854285
102,1.19370722,-0.74722968,1.19912925,-0.74782705,0.00234092,0.00687559,0.00451992,0.00131897,211.14217411,168.17413360,190.97952740,0.00002460,0,1,8.24000000,0.00214016,-0.00307055,-2.20071395,-1.39553683,0.74868103
103,1.19391301,-0.74754673,1.19921671,-0.74794671,0.00219762,0.00656277,0.00444258,0.00134383,211.90417865,168.59898122,191.35820574,0.00002271,0,1,8.32000000,0.00225347,-0.00289092,-2.20073044,-1.39561788,0.74865617
104,1.19409284,-0.74777872,1.19947567,-0.74784054,0.00222221,0.00631099,0.00418882,0.00123606,213.15600296,169.01606220,191.74732633,0.00002097,0,1,8.40000000,0.00259556,-0.00253124,-2.20034520,-1.39582543,0.74876394
105,1.19424720,-0.74793203,1.19964106,-0.74779917,0.00222991,0.00611320,0.00422260,0.00124766,213.76353200,169.42549602,192.11466149,0.00001935,0,1,8.48000000,0.00284766,-0.00233337,-2.20039089,-1.39579553,0.74875234
