step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
88,1.19469429,-0.74316324,1.20349928,-0.74957899,0.00352452,0.00865401,0.00316043,0.00014948,175.46735474,159.92320939,184.01729777,0.00007541,0,1,7.12000000,0.00188258,-0.00761560,-2.19686783,-1.40042169,0.75014948
89,1.19483832,-0.74378087,1.20377312,-0.74910261,0.00387837,0.00808211,0.00350263,0.00028721,178.31891637,160.48364114,184.55917051,0.00006961,0,1,7.20000000,0.00238135,-0.00660639,-2.19652328,-1.40042531,0.75028721
90,1.19501686,-0.74433360,1.20316681,-0.74929034,0.00324535,0.00754585,0.00355241,0.00031364,183.73657630,161.03231533,185.06922315,0.00006426,0,1,7.28000000,0.00177937,-0.00644804,-2.19647050,-1.40040283,0.75031364
91,1.19517366,-0.74485324,1.20376205,-0.74900769,0.00389072,0.00705569,0.00434949,0.00050809,186.72124605,161.56958368,185.58803468,0.00005932,0,1,7.36000000,0.00264148,-0.00574203,-2.19573349,-1.40084551,0.75050809
92,1.19536429,-0.74532955,1.20282218,-0.74954900,0.00285799,0.00658050,0.00353838,0.00029926,191.93605787,162.09576607,186.04653203,0.00005476,0,1,7.44000000,0.00161635,-0.00605495,-2.19648826,-1.40043342,0.75029926
93,1.19551820,-0.74580643,1.20236766,-0.74950138,0.00241959,0.00613780,0.00309876,0.00020828,193.45381257,162.61120755,186.51395812,0.00005055,0,1,7.52000000,0.00121262,-0.00563962,-2.19690298,-1.40010376,0.75020828
94,1.19562490,-0.74626757,1.20231513,-0.74944464,0.00238081,0.00575087,0.00308529,0.00019101,194.30390979,163.11622273,186.97622714,0.00004666,0,1,7.60000000,0.00134235,-0.00521245,-2.19691843,-1.40015149,0.75019101
95,1.19572917,-0.74669482,1.20218332,-0.74936118,0.00227486,0.00540039,0.00310532,0.00018677,195.23937979,163.61108588,187.43017141,0.00004307,0,1,7.68000000,0.00137378,-0.00477503,-2.19690113,-1.40020003,0.75018677
96,1.19583832,-0.74708732,1.20229797,-0.74943100,0.00236736,0.00507969,0.00342540,0.00026016,196.27599218,164.09607962,187.87963416,0.00003976,0,1,7.76000000,0.00168864,-0.00454539,-2.19659921,-1.40040983,0.75026016
97,1.19596585,-0.74745646,1.20209547,-0.74962553,0.00212867,0.00476906,0.00322622,0.00018144,197.52043948,164.57148018,188.30177976,0.00003671,0,1,7.84000000,0.00159404,-0.00447649,-2.19679886,-1.40040152,0.75018144
98,1.19609565,-0.74781624,1.20205337,-0.74963318,0.00208588,0.00447357,0.00284172,0.00010052,199.52464516,165.03757592,188.71777583,0.00003388,0,1,7.92000000,0.00168206,-0.00417855,-2.19716077,-1.40011901,0.75010052
99,1.19622810,-0.74815767,1.20212453,-0.74978393,0.00213549,0.00419779,0.00284487,0.00008213,200.00775952,165.49464416,189.12791670,0.00003128,0,1,8.00000000,0.00189538,-0.00405919,-2.19716192,-1.40019645,0.75008213
100,1.19637461,-0.74848527,1.20267666,-0.74963619,0.00270127,0.00392910,0.00313866,0.00017437,202.46424530,165.94294213,189.54540669,0.00002887,0,1,8.08000000,0.00266136,-0.00358397,-2.19687557,-1.40029849,0.75017437
101,1.19656913,-0.74878339,1.20275940,-0.74969174,0.00277656,0.00364019,0.00278440,0.00007399,205.21806207,166.38273085,189.93079604,0.00002665,0,1,8.16000000,0.00279861,-0.00337463,-2.19721873,-1.40013209,0.75007399
102,1.19678973,-0.74905839,1.20284880,-0.74984116,0.00285323,0.00334551,0.00279246,0.00009465,208.09649079,166.81427336,190.32045916,0.00002460,0,1,8.24000000,0.00290461,-0.00329303,-2.19720821,-1.40006136,0.75009465
103,1.19701955,-0.74932379,1.20278003,-0.74966576,0.00280005,0.00305619,0.00267033,0.00008537,209.04183109,167.23781070,190.70346043,0.00002271,0,1,8.32000000,0.00280161,-0.00282131,-2.19733215,-1.39988490,0.75008537
104,1.19724615,-0.74956081,1.20287230,-0.74994039,0.00287291,0.00278865,0.00284128,0.00010972,210.61139572,167.65357429,191.07472747,0.00002097,0,1,8.40000000,0.00288753,-0.00291255,-2.19715987,-1.40008086,0.75010972
105,1.19747510,-0.74979163,1.20302329,-0.75018828,0.00302915,0.00253349,0.00290203,0.00012145,212.44453034,168.06175812,191.43776417,0.00001935,0,1,8.48000000,0.00303287,-0.00296878,-2.19710102,-1.40013310,0.75012145
106,1.19771424,-0.75002778,1.20291122,-0.75046962,0.00294886,0.00228593,0.00269206,0.00006593,214.18659508,168.46257478,191.78589860,0.00001787,0,1,8.56000000,0.00284202,-0.00304907,-2.19730796,-1.40001048,0.75006593
107,1.19794618,-0.75026978,1.20305548,-0.75052595,0.00310042,0.00207146,0.00289018,0.00009964,214.92214188,168.85624622,192.13892859,0.00001649,0,1,8.64000000,0.00295911,-0.00284331,-2.19711670,-1.40019928,0.75009964
108,1.19823928,-0.75055905,1.20253679,-0.75101950,0.00273399,0.00184734,0.00226546,0.00008159,219.46032522,169.24297294,192.45590151,0.00001522,0,1,8.72000000,0.00219900,-0.00309713,-2.19773702,-1.39989404,0.74991841
109,1.19837426,-0.75074386,1.20286307,-0.75095147,0.00301703,0.00178784,0.00243785,0.00002642,220.50546509,169.62304053,192.79956452,0.00001405,0,1,8.80000000,0.00263439,-0.00279464,-2.19756244,-1.39996240,0.74997358
110,1.19857456,-0.75097469,1.20284695,-0.75076218,0.00294721,0.00172682,0.00225282,0.00007873,222.94859938,169.99641230,193.12596764,0.00001297,0,1,8.88000000,0.00257234,-0.00228428,-2.19775177,-1.39985613,0.74992127
111,1.19878184,-0.75116968,1.20288929,-0.75117754,0.00312003,0.00168881,0.00252675,0.00003009,227.72608380,170.36336385,193.44934394,0.00001198,0,1,8.96000000,0.00256397,-0.00253591,-2.19747647,-1.40012748,0.74996991
