step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
89,1.20214134,-0.74776904,1.20055725,-0.74873727,0.00138022,0.00309234,0.00263555,0.00057564,85.62605019,218.54299795,233.81194553,0.00016287,0,7.20000000,-0.01087690,0.00790987,-2.20133179,-1.40227431,0.75057564
90,1.20138699,-0.74703746,1.20074986,-0.74888552,0.00134326,0.00327114,0.00264576,0.00059195,85.97342400,219.34103010,234.49987538,0.00015185,0,7.28000000,-0.01237915,0.00190005,-2.20116358,-1.40237616,0.75059195
91,1.20043271,-0.74674122,1.20081135,-0.74880671,0.00144299,0.00328738,0.00263867,0.00061656,86.03358419,220.11951579,235.17517957,0.00014159,0,7.36000000,-0.01137371,-0.00377651,-2.20105593,-1.40241818,0.75061656
92,1.19949868,-0.74690711,1.20091326,-0.74878952,0.00151635,0.00313326,0.00260040,0.00066814,86.41087333,220.87922652,235.83300967,0.00013202,0,7.44000000,-0.00804161,-0.00835526,-2.20093390,-1.40242692,0.75066814
93,1.19877538,-0.74746564,1.20051004,-0.74903918,0.00108780,0.00281473,0.00260081,0.00059788,87.76769907,221.62124083,236.45388840,0.00012309,0,7.52000000,-0.00382583,-0.01127938,-2.20135450,-1.40222026,0.75059788
94,1.19836814,-0.74829781,1.20009443,-0.74930233,0.00070403,0.00235806,0.00269279,0.00051667,88.33416872,222.34679569,237.05876234,0.00011477,0,7.60000000,0.00087951,-0.01185194,-2.20160782,-1.40216010,0.75051667
95,1.19832557,-0.74923222,1.19990728,-0.74957975,0.00043036,0.00184206,0.00279703,0.00043900,88.75199007,223.05711296,237.64711553,0.00010701,0,7.68000000,0.00533319,-0.01017458,-2.20179476,-1.40214527,0.75043900
96,1.19864534,-0.75008644,1.19997393,-0.74918669,0.00081373,0.00135742,0.00257250,0.00063414,91.72406739,223.75327366,238.26835645,0.00009978,0,7.76000000,0.00867931,-0.00596148,-2.20121589,-1.40226702,0.75063414
97,1.19925937,-0.75066448,1.19972286,-0.74971493,0.00039758,0.00099502,0.00264737,0.00058347,93.44368492,224.43614508,238.82701851,0.00009303,0,7.84000000,0.00967376,-0.00200696,-2.20121602,-1.40235156,0.75058347
98,1.20000941,-0.75091994,1.19944429,-0.74992656,0.00056054,0.00091999,0.00269007,0.00055103,94.06096418,225.10629002,239.38056263,0.00008674,0,7.92000000,0.00857089,0.00228575,-2.20123924,-1.40238763,0.75055103
99,1.20072155,-0.75084011,1.19961873,-0.74969309,0.00048945,0.00110743,0.00266333,0.00063741,94.66806591,225.76399423,239.94327580,0.00008088,0,8.00000000,0.00625907,0.00621200,-2.20089973,-1.40250676,0.75063741
100,1.20127776,-0.75043738,1.20014143,-0.74971421,0.00031887,0.00135054,0.00268672,0.00072620,96.04091069,226.40928913,240.48515092,0.00007541,0,8.08000000,0.00319820,0.00825689,-2.20055012,-1.40262980,0.75072620
101,1.20160707,-0.74982590,1.19978524,-0.74986318,0.00025464,0.00161648,0.00266567,0.00072340,96.83625928,227.04205993,241.00244301,0.00007031,0,8.16000000,-0.00132327,0.00829589,-2.20059770,-1.40259780,0.75072340
102,1.20160973,-0.74916317,1.19957411,-0.74965649,0.00054716,0.00181425,0.00260464,0.00067348,97.99781444,227.66220244,241.50540398,0.00006556,0,8.24000000,-0.00519556,0.00702242,-2.20090834,-1.40244112,0.75067348
103,1.20118311,-0.74843036,1.19921447,-0.74980589,0.00080916,0.00196558,0.00265214,0.00057500,98.74891950,228.26962222,241.98307950,0.00006113,0,8.32000000,-0.00795396,0.00381372,-2.20125539,-1.40233621,0.75057500
104,1.20071690,-0.74818871,1.19941101,-0.74944727,0.00080773,0.00194801,0.00261132,0.00064008,99.48227924,228.86408131,242.47932624,0.00005699,0,8.40000000,-0.00872389,0.00089235,-2.20103801,-1.40239615,0.75064008
105,1.20003747,-0.74804720,1.19925369,-0.74938871,0.00096470,0.00195315,0.00264151,0.00059130,100.07265707,229.44631507,242.94286484,0.00005314,0,8.48000000,-0.00817233,-0.00252667,-2.20119555,-1.40235547,0.75059130
106,1.19937045,-0.74816728,1.19917003,-0.74944462,0.00099865,0.00193783,0.00261827,0.00062255,100.49536389,230.01648864,243.40314055,0.00004955,0,8.56000000,-0.00614330,-0.00536739,-2.20110435,-1.40237397,0.75062255
107,1.19883029,-0.74852850,1.19917603,-0.74978623,0.00085125,0.00187978,0.00265443,0.00056698,101.58702189,230.57517414,243.83311445,0.00004620,0,8.64000000,-0.00310690,-0.00732256,-2.20130576,-1.40231106,0.75056698
108,1.19850886,-0.74906738,1.19884780,-0.74995478,0.00115309,0.00175877,0.00274011,0.00048165,102.20237567,231.12304645,244.25299823,0.00004307,0,8.72000000,-0.00021378,-0.00759857,-2.20164702,-1.40218986,0.75048165
109,1.19842232,-0.74966864,1.19878682,-0.75016416,0.00122424,0.00161210,0.00269929,0.00051978,103.45522124,231.66081614,244.68077550,0.00004016,0,8.80000000,0.00264206,-0.00653613,-2.20146307,-1.40226839,0.75051978
110,1.19856515,-0.75021703,1.19864019,-0.75014098,0.00136710,0.00145117,0.00272296,0.00050058,103.77587467,232.18909505,245.09550683,0.00003745,0,8.88000000,0.00450242,-0.00414877,-2.20149447,-1.40227619,0.75050058
111,1.19888069,-0.75060623,1.19909782,-0.74980263,0.00092352,0.00127293,0.00268243,0.00054223,105.27115929,232.70837475,245.51324878,0.00003492,0,8.96000000,0.00587784,-0.00086907,-2.20135263,-1.40231643,0.75054223
112,1.19931791,-0.75075446,1.19942053,-0.74979368,0.00061510,0.00101709,0.00269306,0.00059025,106.17591729,233.21897823,245.91971170,0.00003255,0,9.04000000,0.00577728,0.00191814,-2.20102445,-1.40249060,0.75059025
113,1.19978251,-0.75066791,1.19956410,-0.74980218,0.00047868,0.00070243,0.00272373,0.00068879,107.88586358,233.72109307,246.32461990,0.00003035,0,9.12000000,0.00433266,0.00407896,-2.20059683,-1.40265754,0.75068879
114,1.20016379,-0.75039345,1.19935187,-0.75008562,0.00065376,0.00042618,0.00276372,0.00064664,108.60005254,234.21479516,246.69519686,0.00002830,0,9.20000000,0.00174387,0.00494250,-2.20065050,-1.40268608,0.75064664
