step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
45,1.18416111,-0.65915382,1.20384155,-0.74816418,0.00425767,0.09221659,0.00349184,0.00061818,102.27164056,95.92337446,145.95102911,0.00200404,0,1,4.88000000,0.02302546,-0.06204979,-2.19783961,-1.39725671,0.74938182
46,1.18654128,-0.66540938,1.20485295,-0.74753267,0.00544416,0.08565460,0.00396293,0.00027401,104.15381341,97.24510051,147.33194720,0.00184996,0,1,4.96000000,0.01985854,-0.05558879,-2.19663801,-1.39790195,0.74972599
47,1.18774546,-0.66877055,1.20460960,-0.74720728,0.00538960,0.08214863,0.00410916,0.00019665,104.96152632,98.51743352,148.64705214,0.00170773,0,1,5.04000000,0.01672021,-0.05294926,-2.19640671,-1.39800666,0.74980335
48,1.18915840,-0.67306984,1.20550873,-0.74668069,0.00643148,0.07769035,0.00466587,0.00004359,106.04708821,99.74515450,149.91331572,0.00157644,0,1,5.12000000,0.01481985,-0.04891994,-2.19561134,-1.39841569,0.75004359
49,1.19038960,-0.67708014,1.20492288,-0.74741073,0.00556228,0.07355043,0.00409253,0.00022384,107.18895779,100.93033409,151.09371191,0.00145523,0,1,5.20000000,0.01146767,-0.04671959,-2.19639086,-1.39807051,0.74977616
50,1.19138746,-0.68087051,1.20468262,-0.74767162,0.00522956,0.06966392,0.00382884,0.00036915,107.53593067,102.07488071,152.23718495,0.00134335,0,1,5.28000000,0.00891691,-0.04419152,-2.19680090,-1.39789624,0.74963085
51,1.19234037,-0.68535034,1.20490438,-0.74779956,0.00537540,0.06510183,0.00391645,0.00034761,108.03188619,103.18207091,153.34446862,0.00124007,0,1,5.36000000,0.00707598,-0.04064540,-2.19657548,-1.39809968,0.74965239
52,1.19291381,-0.68861616,1.20381218,-0.74849182,0.00409967,0.06179151,0.00329455,0.00076648,111.24611209,104.25189554,154.38305345,0.00114473,0,1,5.44000000,0.00420999,-0.03919983,-2.19778616,-1.39756013,0.74923352
53,1.19317788,-0.69097393,1.20337184,-0.74831102,0.00377121,0.05941901,0.00339276,0.00067848,112.68177928,105.28482957,155.41706938,0.00105672,0,1,5.52000000,0.00258886,-0.03776080,-2.19757095,-1.39763134,0.74932152
54,1.19347567,-0.69478455,1.20363510,-0.74856552,0.00390790,0.05559958,0.00338470,0.00069628,115.19827356,106.28485642,156.39626796,0.00097547,0,1,5.60000000,0.00185804,-0.03506353,-2.19729037,-1.39797166,0.74930372
55,1.19359008,-0.69689915,1.20431867,-0.74817198,0.00468962,0.05348633,0.00350095,0.00061005,117.08588727,107.25137045,157.35197893,0.00090047,0,1,5.68000000,0.00193342,-0.03358512,-2.19715808,-1.39795546,0.74938995
56,1.19378161,-0.70029314,1.20376407,-0.74823416,0.00415769,0.05009431,0.00332949,0.00073687,118.15374043,108.18789137,158.26027157,0.00083124,0,1,5.76000000,0.00050759,-0.03107831,-2.19771879,-1.39757480,0.74926313
57,1.19381777,-0.70216787,1.20379889,-0.74806479,0.00426341,0.04823000,0.00341109,0.00071169,121.00669198,109.09391800,159.14377548,0.00076733,0,1,5.84000000,0.00004823,-0.03007571,-2.19794116,-1.39728031,0.74928831
58,1.19383265,-0.70459799,1.20350593,-0.74797146,0.00405050,0.04581898,0.00346868,0.00076318,122.12196741,109.97168190,159.99102756,0.00070834,0,1,5.92000000,-0.00071055,-0.02845595,-2.19830366,-1.39697441,0.74923682
