step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
110,1.19990426,-0.74784460,1.20071057,-0.74824756,0.00189102,0.00215752,0.26528394,0.07678628,246.53982633,0.05251412,4.48937635,0.00000000,0,1
111,1.19997084,-0.74788067,1.20059783,-0.74822025,0.00187747,0.00211953,0.27537212,0.07966347,247.38449150,0.05270534,4.49752832,0.00000000,0,1
112,1.20003036,-0.74786194,1.20059083,-0.74768564,0.00238858,0.00213827,0.30764449,0.08887187,251.71923629,0.05289172,4.50475977,0.00000000,0,1
113,1.20008419,-0.74782496,1.20059108,-0.74747665,0.00259166,0.00217667,0.32404238,0.09355065,252.66119583,0.05307312,4.51208096,0.00000000,0,1
114,1.20016979,-0.74782238,1.20097588,-0.74779817,0.00240840,0.00218422,0.30720616,0.08874642,255.34970581,0.05324968,4.52004351,0.00000000,0,1
115,1.20026117,-0.74784723,1.20112171,-0.74808122,0.00222260,0.00216855,0.28488624,0.08237825,257.11350562,0.05342102,4.52788739,0.00000000,0,1
116,1.20037154,-0.74786270,1.20141086,-0.74800830,0.00244077,0.00216936,0.29129547,0.08420338,258.20761909,0.05358735,4.53518258,0.00000000,0,1
117,1.20046764,-0.74784108,1.20137256,-0.74763756,0.00273223,0.00220898,0.31468512,0.09087144,260.90578047,0.05374830,4.54187402,0.00000000,0,1
118,1.20055879,-0.74781114,1.20141715,-0.74752915,0.00284841,0.00225906,0.32852199,0.09481617,262.11945010,0.05390408,4.54831220,0.00000000,0,1
119,1.20062221,-0.74779580,1.20121943,-0.74765141,0.00264629,0.00229033,0.32659082,0.09427030,263.34933384,0.05405488,4.55406423,0.00000000,0,1
120,1.20070329,-0.74778064,1.20146674,-0.74763782,0.00278051,0.00232813,0.32301284,0.09325439,268.36635179,0.05420160,4.55972804,0.00000000,0,1
