step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
100,1.19895356,-0.74755872,1.19981828,-0.74787402,0.00213373,0.00265611,0.34517119,0.09982970,228.29012014,0.04111702,3.97536822,0.00000000,0,1
101,1.19908349,-0.74758795,1.20030699,-0.74786327,0.00215867,0.00258030,0.35362953,0.10224379,230.73311084,0.04128139,3.98339437,0.00000000,0,1
102,1.19915424,-0.74763398,1.19982046,-0.74806736,0.00194097,0.00251264,0.34715151,0.10039556,232.65916831,0.04143954,3.99097823,0.00000000,0,1
103,1.19923736,-0.74767360,1.20002017,-0.74804671,0.00195339,0.00244821,0.34496876,0.09976931,233.73362632,0.04159322,3.99916541,0.00000000,0,1
104,1.19937128,-0.74770699,1.20063232,-0.74802146,0.00207713,0.00237764,0.34594174,0.10004382,236.40764824,0.04174223,4.00697226,0.00000000,0,1
105,1.19948179,-0.74774336,1.20052243,-0.74808576,0.00198425,0.00231538,0.34797507,0.10062741,237.55130854,0.04188550,4.01320287,0.00000000,0,1
106,1.19961559,-0.74775419,1.20087555,-0.74785617,0.00231573,0.00227848,0.35020987,0.10126312,239.23573117,0.04202379,4.02012394,0.00000000,0,1
107,1.19972336,-0.74777883,1.20073819,-0.74801085,0.00212170,0.00223833,0.34485318,0.09973354,239.85155317,0.04215659,4.02685479,0.00000000,0,1
108,1.19980267,-0.74781604,1.20054949,-0.74816649,0.00191408,0.00219285,0.33430964,0.09672346,240.84286307,0.04228474,4.03367252,0.00000000,0,1
109,1.19985119,-0.74788998,1.20030815,-0.74858618,0.00144701,0.00211526,0.32035283,0.09274030,243.72672628,0.04240906,4.04037722,0.00000000,0,1
110,1.19993530,-0.74792949,1.20072735,-0.74830158,0.00184762,0.00207152,0.32362799,0.09367190,246.35073463,0.04253057,4.04639227,0.00000000,0,1
111,1.20000081,-0.74796331,1.20061768,-0.74828176,0.00182589,0.00203669,0.33315420,0.09639044,247.19815175,0.04264838,4.05141317,0.00000000,0,1
112,1.20006099,-0.74794547,1.20062770,-0.74777749,0.00230945,0.00205544,0.36367873,0.10510538,251.54587152,0.04276297,4.05446914,0.00000000,0,1
113,1.20011610,-0.74791069,1.20063510,-0.74758322,0.00249883,0.00209253,0.37923268,0.10954610,252.49683216,0.04287421,4.05850086,0.00000000,0,1
114,1.20020194,-0.74790909,1.20101018,-0.74789395,0.00233579,0.00210064,0.36341691,0.10503033,255.17602582,0.04298219,4.06489273,0.00000000,0,1
115,1.20029251,-0.74793295,1.20114538,-0.74815767,0.00216935,0.00208764,0.34243420,0.09904037,256.92969909,0.04308661,4.07150170,0.00000000,0,1
116,1.20040240,-0.74794851,1.20143722,-0.74809507,0.00238629,0.00209058,0.34841966,0.10074563,258.02657097,0.04318763,4.07614840,0.00000000,0,1
117,1.20049920,-0.74792895,1.20141071,-0.74774476,0.00266012,0.00213036,0.37034746,0.10699998,260.73724808,0.04328496,4.07941158,0.00000000,0,1
118,1.20059145,-0.74790207,1.20146014,-0.74764888,0.00276763,0.00217971,0.38335052,0.11070877,261.96019391,0.04337873,4.08298250,0.00000000,0,1
119,1.20065559,-0.74788888,1.20125961,-0.74776469,0.00256578,0.00221057,0.38178583,0.11026709,263.18833199,0.04346910,4.08676435,0.00000000,0,1
120,1.20073721,-0.74787558,1.20150584,-0.74775037,0.00270710,0.00224870,0.37866956,0.10938237,268.20249524,0.04355674,4.09058099,0.00000000,0,1
